module,page,tablename,columnname,cannot_be_toggled,is_hidden
'circ','circulation','issues-table','callno',0,0
'circ','circulation','issues-table','charge',0,0
'circ','circulation','issues-table','checkin',1,0
'circ','circulation','issues-table','checkout_from',0,0
'circ','circulation','issues-table','checkout_on',0,0
'circ','circulation','issues-table','due_date',0,0
'circ','circulation','issues-table','due_date_unformatted',1,1
'circ','circulation','issues-table','export',1,0
'circ','circulation','issues-table','fine',0,0
'circ','circulation','issues-table','item_type',0,0
'circ','circulation','issues-table','location',0,0
'circ','circulation','issues-table','price',0,0
'circ','circulation','issues-table','renew',1,0
'circ','circulation','issues-table','sort_order',1,1
'circ','circulation','issues-table','title',0,0
'circ','circulation','issues-table','todays_or_previous_checkouts',1,1
'circ','returns','checkedintable','author',0,0
'circ','returns','checkedintable','barcode',0,0
'circ','returns','checkedintable','borrower',0,0
'circ','returns','checkedintable','dateaccessioned',0,1
'circ','returns','checkedintable','due_date',0,0
'circ','returns','checkedintable','holdinglibrary',0,0
'circ','returns','checkedintable','homelibrary',0,0
'circ','returns','checkedintable','itemcallnumber',0,0
'circ','returns','checkedintable','itemnote',0,0
'circ','returns','checkedintable','itype',0,0
'circ','returns','checkedintable','location',0,0
'circ','returns','checkedintable','title',0,0
'circ','view_holdsqueue','holds-table','barcode',0,0
'circ','view_holdsqueue','holds-table','callnumber',0,0
'circ','view_holdsqueue','holds-table','collection:',0,0
'circ','view_holdsqueue','holds-table','copynumber',0,0
'circ','view_holdsqueue','holds-table','date',0,0
'circ','view_holdsqueue','holds-table','document_type',0,0
'circ','view_holdsqueue','holds-table','enumeration',0,1
'circ','view_holdsqueue','holds-table','notes',0,0
'circ','view_holdsqueue','holds-table','patron',0,1
'circ','view_holdsqueue','holds-table','send_to',0,0
'circ','view_holdsqueue','holds-table','title',0,0